name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,roll3_total_points,roll3_minutes,roll3_goals_scored,roll3_assists,roll3_clean_sheets,roll3_bps,avg_points_last3,avg_minutes_last3,goals_last3,std_points_last3,avg_points_last5,avg_minutes_last5,goals_last5,std_points_last5,ema_points
Calafiori,DEF,ARS,7,1,2,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,151,2,1,2025-12-13T20:00:00Z,1300,1375,1340,1400,1260,1350,2.6666666666666665,73.33333333333333,0.0,0.0,0.3333333333333333,13.333333333333334,2.6666666666666665,73.33333333333333,0.0,3.7859388972001824,0.0,0.0,0.0,0.0,2.25
Calafiori,DEF,ARS,7,1,2,17,57,90,0,0,1,0,0,25,0,0,0,0,0,6,0.0,0.0,164,0,1,2025-12-20T20:00:00Z,1300,1375,1340,1400,1260,1350,2.6666666666666665,58.333333333333336,0.0,0.0,0.3333333333333333,11.666666666666666,2.6666666666666665,58.333333333333336,0.0,3.7859388972001824,0.0,0.0,0.0,0.0,1.125
Calafiori,DEF,ARS,7,1,2,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,171,2,1,2025-12-27T15:00:00Z,1300,1365,1340,1390,1260,1340,2.3333333333333335,58.333333333333336,0.0,0.0,0.3333333333333333,9.0,2.3333333333333335,58.333333333333336,0.0,3.2145502536643185,2.8,62.0,0.0,3.420526275297414,3.5625
Calafiori,DEF,ARS,7,1,2,19,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340,2.0,30.0,0.0,0.0,0.3333333333333333,8.333333333333334,2.0,30.0,0.0,3.464101615137755,2.8,53.0,0.0,3.420526275297414,1.78125
Calafiori,DEF,ARS,7,1,2,20,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,192,2,3,2026-01-03T17:30:00Z,1300,1365,1340,1390,1260,1340,2.0,30.0,0.0,0.0,0.3333333333333333,8.333333333333334,2.0,30.0,0.0,3.464101615137755,1.4,35.0,0.0,2.6076809620810595,0.890625
J.Timber,DEF,ARS,8,1,2,13,64,90,0,0,0,1,0,8,0,0,0,0,0,2,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,18.0,0.0,2.6832815729997477,0.4453125
J.Timber,DEF,ARS,8,1,2,14,64,46,0,0,0,0,0,3,0,0,0,0,0,1,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,2.0,90.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
J.Timber,DEF,ARS,8,1,2,15,65,90,0,0,0,2,0,7,0,0,0,0,0,3,0.0,0.0,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350,1.5,68.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
J.Timber,DEF,ARS,8,1,2,16,65,90,0,0,0,1,0,7,0,0,0,0,0,2,0.0,0.0,151,2,1,2025-12-13T20:00:00Z,1300,1375,1340,1400,1260,1350,2.0,75.33333333333333,0.0,0.0,0.0,6.0,2.0,75.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,2.25
J.Timber,DEF,ARS,8,1,2,17,65,90,0,0,1,0,0,26,0,0,0,0,0,6,0.0,0.0,164,0,1,2025-12-20T20:00:00Z,1300,1375,1340,1400,1260,1350,2.0,75.33333333333333,0.0,0.0,0.0,5.666666666666667,2.0,75.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,2.125
J.Timber,DEF,ARS,8,1,2,18,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,171,2,1,2025-12-27T15:00:00Z,1300,1365,1340,1390,1260,1340,3.6666666666666665,90.0,0.0,0.0,0.3333333333333333,13.333333333333334,3.6666666666666665,90.0,0.0,2.0816659994661326,2.8,81.2,0.0,1.9235384061671346,4.0625
