name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Milenković,DEF,NFO,505,16,2,15,51,90,0,0,0,3,0,-4,0,1,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Murillo,DEF,NFO,506,16,2,15,52,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Aina,DEF,NFO,507,16,2,15,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
N.Williams,DEF,NFO,508,16,2,15,47,90,0,0,0,3,0,8,0,0,0,0,0,1,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
David Carmo,DEF,NFO,509,16,2,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Jair Cunha,DEF,NFO,510,16,2,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Morato,DEF,NFO,511,16,2,15,43,90,0,0,0,3,0,-2,0,1,0,0,0,2,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
O.Richards,DEF,NFO,512,16,2,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Abbott,DEF,NFO,513,16,2,15,38,45,0,0,0,1,0,5,0,0,0,0,0,1,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Boly,DEF,NFO,514,16,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Gibbs-White,MID,NFO,515,16,3,15,73,90,0,0,0,3,0,7,0,0,0,0,0,2,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Hudson-Odoi,MID,NFO,516,16,3,15,57,45,0,0,0,1,0,0,0,0,0,0,0,1,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Anderson,MID,NFO,517,16,3,15,53,90,0,0,0,3,0,27,0,0,0,0,0,4,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Jota,MID,NFO,518,16,3,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Dominguez,MID,NFO,519,16,3,15,50,28,0,0,0,1,0,3,0,0,0,0,0,1,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
O'Brien,MID,NFO,520,16,3,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Sangaré,MID,NFO,521,16,3,15,49,45,0,0,0,2,0,10,0,0,0,0,0,1,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
