name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Alex Moreno,DEF,AVL,43,2,2,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Bogarde,DEF,AVL,44,2,2,19,40,90,0,0,0,4,0,-9,0,1,0,0,0,-1,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Sousa,DEF,AVL,45,2,2,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Yasin,DEF,AVL,46,2,2,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Rogers,MID,AVL,47,2,3,19,76,81,0,0,0,4,0,8,0,1,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Tielemans,MID,AVL,48,2,3,19,59,81,0,0,0,4,0,15,0,0,0,0,0,2,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Bailey,MID,AVL,49,2,3,19,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Buendía,MID,AVL,50,2,3,19,53,60,0,0,0,2,0,5,0,0,0,0,0,2,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Iling Jr,MID,AVL,51,2,3,19,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
J.Ramsey,MID,NEW,52,15,3,19,53,10,0,0,0,0,0,3,0,0,0,0,0,1,,,183,1,3,2025-12-30T19:30:00Z,1150,1220,1150,1150,1150,1290
Malen,MID,AVL,53,2,3,19,51,29,0,1,0,2,0,6,0,0,0,0,0,4,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
McGinn,MID,AVL,54,2,3,19,54,45,0,0,0,4,0,3,0,0,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Barkley,MID,AVL,55,2,3,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Barrenechea,MID,AVL,56,2,3,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Dobbin,MID,AVL,57,2,3,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Kamara,MID,AVL,58,2,3,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Onana,MID,AVL,59,2,3,19,48,45,0,0,0,0,0,5,0,0,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Broggio,MID,AVL,60,2,3,19,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Dendoncker,MID,AVL,61,2,3,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Jimoh-Aloba,MID,AVL,62,2,3,19,45,8,0,0,0,0,0,3,0,0,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Young,MID,AVL,63,2,3,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Watkins,FWD,AVL,64,2,4,19,86,90,1,0,0,4,0,19,0,1,0,0,0,5,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Redmond,FWD,AVL,65,2,4,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1155,1225,1120,1230,1190,1220
Neto,GKP,BOU,66,4,1,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Petrović,GKP,BOU,67,4,1,19,45,90,0,0,0,2,2,4,0,0,0,0,0,1,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Dennis,GKP,BOU,68,4,1,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
McKenna,GKP,BOU,69,4,1,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Paulsen,GKP,BOU,70,4,1,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Zabarnyi,DEF,BOU,71,4,2,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Senesi,DEF,BOU,72,4,2,19,48,90,0,0,0,2,0,1,0,0,0,0,0,3,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Smith,DEF,BOU,73,4,2,19,44,1,0,0,0,0,0,3,0,0,0,0,0,1,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Truffert,DEF,BOU,74,4,2,19,45,90,0,0,0,2,0,14,0,0,0,0,0,3,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Akinmboni,DEF,BOU,75,4,2,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Bevan,DEF,BOU,76,4,2,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Hill,DEF,BOU,77,4,2,19,40,90,0,0,0,2,0,5,0,0,0,0,0,3,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
J.Araujo,DEF,BOU,78,4,2,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Mepham,DEF,BOU,79,4,2,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Soler,DEF,BOU,80,4,2,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Kluivert,MID,BOU,81,4,3,19,70,90,1,0,0,2,0,35,2,0,0,0,0,9,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Semenyo,MID,MCI,82,13,3,19,79,90,0,1,0,2,0,7,0,0,0,0,0,5,,,184,2,2,2025-12-30T19:30:00Z,1255,1350,1210,1300,1300,1400
O.Dango,MID,BRE,83,5,3,19,58,0,0,0,0,0,0,0,0,0,0,0,0,0,,,182,0,0,2026-01-01T20:00:00Z,1140,1225,1110,1170,1170,1280
Tavernier,MID,BOU,84,4,3,19,53,90,0,0,0,2,0,6,0,1,0,0,0,3,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Adams,MID,BOU,85,4,3,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Brooks,MID,BOU,86,4,3,19,50,77,1,0,0,2,0,37,3,0,0,0,0,10,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Christie,MID,BOU,87,4,3,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Cook,MID,BOU,88,4,3,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Philip,MID,BOU,89,4,3,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Scott,MID,BOU,90,4,3,19,50,90,0,0,0,2,0,7,0,0,0,0,0,2,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Sinisterra,MID,BOU,91,4,3,19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Faivre,MID,BOU,92,4,3,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
H.Traorè,MID,BOU,93,4,3,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Sadi,MID,BOU,94,4,3,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Silcott-Duberry,MID,BOU,95,4,3,19,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Winterburn,MID,BOU,96,4,3,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Evanilson,FWD,BOU,97,4,4,19,70,81,0,0,0,2,0,10,0,0,0,0,0,2,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Enes Ünal,FWD,BOU,98,4,4,19,54,8,0,0,0,0,0,-3,0,0,0,0,0,1,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Adu-Adjei,FWD,BOU,99,4,4,19,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
Kroupi.Jr,FWD,BOU,100,4,4,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,184,2,2,2025-12-30T19:30:00Z,1130,1205,1040,1190,1220,1220
